workload,Nrh,prac-level,Benchmark_Types,ABO-Only,BAT-RFM,TPRAC-S
MIX47,512.0,4.0,HHMM (15),1.000083431874837,0.954724708488779,0.9080721511252182
MIX47,1024.0,1.0,HHMM (15),0.9999611377074107,0.9961366330444424,
MIX47,2048.0,1.0,HHMM (15),1.0,0.9972449975532199,0.9908589072426022
MIX47,4096.0,1.0,HHMM (15),1.0,0.9972449975532199,0.9908589072426022
MIX48,256.0,1.0,HHMM (15),0.9990776615604813,0.877314359055486,
MIX48,512.0,1.0,HHMM (15),0.9999006314363674,0.9494409600189188,
MIX48,512.0,2.0,HHMM (15),0.9999036758885446,0.9494409600189188,
MIX48,512.0,4.0,HHMM (15),0.9997175313703219,0.9494409600189188,
MIX48,1024.0,1.0,HHMM (15),0.99998743397667,0.9901314914091766,
MIX48,2048.0,1.0,HHMM (15),1.0,0.9949996772929908,0.9890755070249413
MIX48,4096.0,1.0,HHMM (15),1.0,0.9949996772929908,0.9890755070249413
MIX49,256.0,1.0,HHMM (15),1.0000088699532645,,
MIX49,512.0,1.0,HHMM (15),0.9999619149063742,0.9481081718407915,
MIX49,512.0,2.0,HHMM (15),0.9998537096114338,0.9481081718407915,
MIX49,512.0,4.0,HHMM (15),0.9997991961609763,0.9481081718407915,
MIX49,1024.0,1.0,HHMM (15),1.0,0.9911117901413354,
MIX49,2048.0,1.0,HHMM (15),1.0,0.9960140494133509,0.9889265304511635
MIX49,4096.0,1.0,HHMM (15),1.0,0.9960140494133509,0.9889265304511635
MIX5,256.0,1.0,HHHH (15),0.9996288345767478,,
MIX5,512.0,1.0,HHHH (15),1.0000370032699997,0.9518231260048596,
MIX5,512.0,2.0,HHHH (15),1.0000119796311953,0.9518231260048596,
MIX5,512.0,4.0,HHHH (15),0.9999953302381216,0.9518231260048596,
MIX5,1024.0,1.0,HHHH (15),1.0000423347568046,0.9914848878744841,
MIX5,2048.0,1.0,HHHH (15),1.0,0.9956206212721195,0.9890486815938695
MIX5,4096.0,1.0,HHHH (15),1.0,0.9956206212721195,0.9890486815938695
MIX50,256.0,1.0,HHMM (15),0.999673761617809,0.9069901545101129,
MIX50,512.0,1.0,HHMM (15),0.999869405426824,0.967883577203878,
MIX50,512.0,2.0,HHMM (15),1.0000021168795177,0.967883577203878,0.9174497662719527
MIX50,512.0,4.0,HHMM (15),0.9998527302425233,0.967883577203878,0.9174497662719527
MIX50,1024.0,1.0,HHMM (15),1.0,0.9952065976962167,
MIX50,2048.0,1.0,HHMM (15),1.0,0.9985995752816235,0.9911864215201452
MIX50,4096.0,1.0,HHMM (15),1.0,0.9985995752816235,0.9911864215201452
MIX51,256.0,1.0,HHMM (15),1.0000453214529577,,
