workload,Channel,interface,PRAC_WO_Mitigation,Benchmark_Types
MIX61,1.0,8000.0,0.9465286915920404,HHLL (15)
MIX61,1.0,8800.0,0.9465829876714819,HHLL (15)
MIX61,1.0,12800.0,0.9448481836295217,HHLL (15)
MIX61,1.0,17600.0,0.9432745972031251,HHLL (15)
MIX62,1.0,3200.0,0.9536856246640592,HHLL (15)
MIX62,1.0,4800.0,0.9246946209979355,HHLL (15)
MIX62,1.0,6400.0,0.9126186098507237,HHLL (15)
MIX62,1.0,8000.0,0.9094522292833619,HHLL (15)
MIX62,1.0,8800.0,0.9090329849230987,HHLL (15)
MIX62,1.0,12800.0,0.9069164463661048,HHLL (15)
MIX62,1.0,17600.0,0.9060416190626318,HHLL (15)
MIX63,1.0,3200.0,0.9733445156546311,HHLL (15)
MIX63,1.0,4800.0,0.9606809846740688,HHLL (15)
MIX63,1.0,6400.0,0.9508307261457534,HHLL (15)
MIX63,1.0,8000.0,0.9480938199663603,HHLL (15)
MIX63,1.0,8800.0,0.9456123349740837,HHLL (15)
MIX63,1.0,12800.0,0.9458511360024636,HHLL (15)
MIX63,1.0,17600.0,0.9402574205766651,HHLL (15)
MIX64,1.0,3200.0,0.9596632730108534,HHLL (15)
MIX64,1.0,4800.0,0.9519382241396878,HHLL (15)
MIX64,1.0,6400.0,0.9411565167993193,HHLL (15)
MIX64,1.0,8000.0,0.9401454767466345,HHLL (15)
MIX64,1.0,8800.0,0.9391163951815702,HHLL (15)
MIX64,1.0,12800.0,0.9389386984536154,HHLL (15)
MIX64,1.0,17600.0,0.9451748240625446,HHLL (15)
MIX65,1.0,3200.0,0.9746700203237725,HHLL (15)
MIX65,1.0,4800.0,0.9578470593514957,HHLL (15)
MIX65,1.0,6400.0,0.9516972074027662,HHLL (15)
MIX65,1.0,8000.0,0.9482132515087958,HHLL (15)
MIX65,1.0,8800.0,0.9480559524978279,HHLL (15)
MIX65,1.0,12800.0,0.9466983377155903,HHLL (15)
MIX65,1.0,17600.0,0.9454914726968785,HHLL (15)
MIX66,1.0,3200.0,0.9697151593921493,HHLL (15)
MIX66,1.0,4800.0,0.9513736363907177,HHLL (15)
MIX66,1.0,6400.0,0.9405754109594141,HHLL (15)
MIX66,1.0,8000.0,0.9430714899841337,HHLL (15)
MIX66,1.0,8800.0,0.9328265216805426,HHLL (15)
MIX66,1.0,12800.0,0.9344346398716586,HHLL (15)
MIX66,1.0,17600.0,0.9286208254566268,HHLL (15)
MIX67,1.0,3200.0,0.9407871397872708,HHLL (15)
MIX67,1.0,4800.0,0.9090505117717071,HHLL (15)
MIX67,1.0,6400.0,0.8966349341175366,HHLL (15)
MIX67,1.0,8000.0,0.8950896122499474,HHLL (15)
